Nama Wilayah;ADM2_PCODE;Tahun;Long;Lat;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
Kota Magelang;ID3371;2019;110.2177;-7.4797;7.46;10.33;12514;78.8;76.75;10.30;82.13;100.00; 4.37 ; 64.95 ;6470540
Kota Surakarta;ID3372;2019;110.8243;-7.5755;8.7;10.54;15049;81.86;77.12;10.69;92.63;98.04; 4.16 ; 69.27 ;35441108
Kota Salatiga;ID3373;2019;110.5084;-7.3305;4.76;10.41;15944;83.12;77.22;10.53;95.35;98.92; 4.33 ; 66.96 ;9666446
Kota Semarang;ID3374;2019;110.4381;-7.0051;3.98;10.52;15550;83.19;77.25;10.60;93.99;97.07; 4.50 ; 66.87 ;140199517
Kota Pekalongan;ID3375;2019;109.6746;-6.8898;6.6;8.71;12680;74.77;74.28;8.96;89.39;97.12; 5.80 ; 72.46 ;7477425
Kota Tegal;ID3376;2019;109.1256;-6.8797;7.47;8.31;13250;74.93;74.34;8.66;87.58;100.00; 8.08 ; 69.61 ;11205783
Kulon Progo;ID3401;2019;110.1641;-7.8267;17.39;8.66;10275;74.44;75.2;8.70;90.45;83.59; 1.80 ; 76.54 ;8770750
Bantul;ID3402;2019;110.3785;-7.919;12.92;9.54;15636;80.01;73.77;10.00;92.80;96.81; 3.07 ; 73.01 ;19155274
Gunung Kidul;ID3403;2019;110.6169;-8.0305;16.61;7.13;9612;69.96;74.03;7.50;93.34;93.09; 1.96 ; 76.09 ;13605075
Sleman;ID3404;2019;110.4024;-7.7325;7.41;10.67;16434;83.85;74.77;10.95;97.76;96.29; 3.98 ; 70.27 ;35286507
Kota Yogyakarta;ID3471;2019;110.3695;-7.7956;6.84;11.45;19125;86.65;74.56;11.37;95.30;99.27; 4.95 ; 69.48 ;27685286
Pacitan;ID3501;2019;111.1414;-8.1263;13.67;7.28;9033;68.16;71.77;7.64;65.01;77.72; 0.91 ; 79.62 ;11040775
Ponorogo;ID3502;2019;111.4696;-7.8651;9.64;7.21;9883;70.56;72.65;7.73;80.37;93.02; 3.50 ; 71.15 ;14297100
Trenggalek;ID3503;2019;111.6184;-8.1824;10.98;7.28;9865;69.46;73.59;7.63;72.72;80.53; 3.36 ; 73.45 ;12779455
Tulungagung;ID3504;2019;111.9642;-8.0912;6.74;8.07;10891;72.62;73.95;8.30;79.82;97.65; 3.29 ; 70.48 ;27299802
Blitar;ID3505;2019;112.1609;-8.0955;8.94;7.29;10861;70.57;73.39;7.68;75.73;92.71; 3.05 ; 72.93 ;25530112
Kediri;ID3506;2019;112.1907;-7.8232;10.42;8.01;11146;71.85;72.54;8.53;84.73;97.42; 3.58 ; 71.76 ;29193722
Malang;ID3507;2019;112.7152;-8.2422;9.47;7.27;10270;70.35;72.45;7.82;79.49;98.00; 3.70 ; 70.07 ;68379670
Lumajang;ID3508;2019;113.1442;-8.0944;9.49;6.22;9274;65.33;69.94;6.76;69.59;93.98; 2.73 ; 66.14 ;22563390
Jember;ID3509;2019;113.6681;-8.1845;9.25;6.18;9525;66.69;68.99;6.97;63.78;92.98; 3.69 ; 67.16 ;54200041
Banyuwangi;ID3510;2019;114.3691;-8.2191;7.52;7.13;12264;70.6;70.54;7.59;78.36;94.03; 3.95 ; 72.13 ;55274032
Bondowoso;ID3511;2019;113.9061;-7.9674;13.33;5.71;10665;66.09;66.55;6.49;43.10;93.12; 2.86 ; 76.01 ;13637365
Situbondo;ID3512;2019;114.1915;-7.7889;11.2;6.12;10097;67.09;68.97;6.75;52.14;96.28; 2.77 ; 72.40 ;13599572
Probolinggo;ID3513;2019;113.4776;-7.8718;17.76;5.77;10972;65.6;67;6.63;55.96;89.59; 3.77 ; 68.88 ;23395251
Pasuruan;ID3514;2019;112.8582;-7.786;8.68;7.11;10381;68.29;70.17;7.87;73.47;93.14; 5.22 ; 68.82 ;105289182
Sidoarjo;ID3515;2019;112.6675;-7.4726;5.32;10.25;14609;80.05;73.98;9.81;94.07;97.55; 4.62 ; 66.98 ;140492938
Mojokerto;ID3516;2019;112.4351;-7.4699;9.75;8.49;12860;73.53;72.43;8.91;91.30;98.87; 3.61 ; 69.46 ;58467148
Jombang;ID3517;2019;112.2861;-7.5741;9.22;8.53;11533;72.85;72.27;8.95;88.70;94.01; 4.28 ; 71.04 ;28216180
Nganjuk;ID3518;2019;111.9046;-7.5944;11.24;7.63;12200;71.71;71.44;8.18;79.58;97.34; 3.16 ; 66.78 ;18304205
Madiun;ID3519;2019;111.6184;-7.6093;10.54;7.8;11650;71.69;71.22;8.27;89.14;96.28; 3.52 ; 70.47 ;13161840
Magetan;ID3520;2019;111.356;-7.6433;9.61;7.96;11779;73.49;72.49;8.08;84.00;98.96; 2.98 ; 72.34 ;13237473
Ngawi;ID3521;2019;111.3322;-7.461;14.39;6.98;11468;70.41;72.16;7.51;76.34;95.72; 3.60 ; 72.48 ;13710886
Bojonegoro;ID3522;2019;111.7615;-7.3175;12.38;7.09;10265;68.75;71.36;7.78;86.58;98.18; 3.56 ; 71.29 ;69985678
Tuban;ID3523;2019;112.0298;-6.8955;14.58;6.81;10499;68.37;71.26;7.52;77.79;96.02; 2.70 ; 68.76 ;45356094
Lamongan;ID3524;2019;112.3338;-7.1269;13.21;7.89;11572;72.57;72.27;8.47;90.08;84.31; 3.89 ; 68.96 ;27706155
Gresik;ID3525;2019;112.5722;-7.155;11.35;9.29;13295;76.1;72.61;9.65;97.99;97.19; 5.40 ; 65.83 ;101346548
Bangkalan;ID3526;2019;112.9137;-7.0384;18.9;5.66;8718;63.79;70.11;6.46;54.66;90.38; 5.62 ; 63.44 ;18550799
Sampang;ID3527;2019;113.2394;-7.0402;20.71;4.55;8760;61.94;67.96;5.86;73.04;82.71; 2.71 ; 66.74 ;13994780
